state_ut,district,year_month,Latitude,Longitude,Cases,Deaths,preci,LAI,Temp,Cases_MA_3,Deaths_MA_3,Case_Growth_Rate,Month,Season
Andhra Pradesh,Chittoor,2016-01,13.1601048,79.15555062,52.0,0.0,0.05755587459,11.0,302.264,77241.0,0.3333333333333333,-0.054545454545454564,1,Winter
Andhra Pradesh,Chittoor,2016-06,13.1601048,79.15555062,75.0,1.0,0.4517175858,13.0,302.2,60.666666666666664,0.6666666666666666,0.4423076923076923,6,Monsoon
Andhra Pradesh,Chittoor,2016-07,13.1601048,79.15555062,11.0,0.0,0.8138324845,15.0,304.45,46.0,0.3333333333333333,-0.8533333333333333,7,Monsoon
Andhra Pradesh,Chittoor,2016-08,13.1601048,79.15555062,32.0,0.0,0.001476693637,17.0,299.2466666,39.333333333333336,0.3333333333333333,1.9090909090909092,8,Monsoon
Andhra Pradesh,Chittoor,2016-09,13.1601048,79.15555062,12.0,0.0,0.2775444993,0.0,302.16,18.333333333333332,0.0,-0.625,9,Monsoon
Andhra Pradesh,Chittoor,2017-03,13.1601048,79.15555062,63.0,0.0,0.0002700199809,8.0,306.12,35.666666666666664,0.0,4.25,3,Summer
Andhra Pradesh,Chittoor,2018-02,13.1601048,79.15555062,42.0,0.0,0.09335975988,11.0,304.23,39.0,0.0,-0.33333333333333337,2,Winter
Andhra Pradesh,Chittoor,2019-06,13.1601048,79.15555062,35.0,0.0,0.01858787331,8.0,310.12,46.666666666666664,0.0,-0.16666666666666663,6,Monsoon
Andhra Pradesh,Chittor,2011-08,13.2178147,79.0929361,29.0,0.0,0.06253562373,9.0,296.94,29.0,0.0,0.0,8,Monsoon
Andhra Pradesh,Cuddapah,2012-05,14.4956602,78.8349278,29.0,0.0,0.1016562317,0.0,314.0666666,29.0,0.0,0.0,5,Summer
Andhra Pradesh,Cuddapah,2016-06,14.4956602,78.8349278,14.0,0.0,0.296688057,6.0,309.54,21.5,0.0,-0.5172413793103448,6,Monsoon
Andhra Pradesh,Cuddapah,2016-07,14.4956602,78.8349278,42.0,0.0,0.1040768561,9.0,301.12,28.333333333333332,0.0,2.0,7,Monsoon
Andhra Pradesh,Cuddapah,2017-07,14.4956602,78.8349278,51.0,0.0,0.08707381249,6.0,308.0466666,35.666666666666664,0.0,0.2142857142857142,7,Monsoon
Andhra Pradesh,Cuddapah,2018-03,14.4956602,78.8349278,25.0,0.0,0.004435096183,8.0,310.12333340000004,39.333333333333336,0.0,-0.5098039215686274,3,Summer
Andhra Pradesh,East Godavari,2010-01,16.99842865,81.71561488,25.0,0.0,0.008943070151,13.0,300.535,25.0,0.0,0.0,1,Winter
Andhra Pradesh,East Godavari,2011-10,16.99842865,81.71561488,55.0,0.0,0.01923500463,18.0,304.14,40.0,0.0,1.2000000000000002,10,Post-Monsoon
Andhra Pradesh,East Godavari,2012-07,16.99842865,81.71561488,41.0,0.0,0.8395909477,13.0,305.8,40.333333333333336,0.0,-0.2545454545454545,7,Monsoon
Andhra Pradesh,East Godavari,2012-11,16.99842865,81.71561488,224.0,0.0,1.285813591,19.0,299.28000000000003,106.66666666666667,0.0,4.463414634146342,11,Post-Monsoon
Andhra Pradesh,East Godavari,2013-04,16.99842865,81.71561488,30.0,0.0,0.0006611923121,10.0,307.216,98.33333333333333,0.0,-0.8660714285714286,4,Summer
Andhra Pradesh,East Godavari,2014-07,16.99842865,81.71561488,110.0,0.0,1.741450456,7.0,300.55,121.33333333333333,0.0,2.6666666666666665,7,Monsoon
Andhra Pradesh,East Godavari,2015-07,16.99842865,81.71561488,29.0,0.0,0.1025574804,16.0,302.88,56.333333333333336,0.0,-0.7363636363636363,7,Monsoon
Andhra Pradesh,East Godavari,2015-10,16.99842865,81.71561488,182.0,0.0,0.7861790594,0.0,301.65500000000003,107.0,0.0,5.275862068965517,10,Post-Monsoon
Andhra Pradesh,East Godavari,2016-03,16.99842865,81.71561488,10.0,0.0,0.03940526049,12.0,301.7333334,73.66666666666667,0.0,-0.945054945054945,3,Summer
Andhra Pradesh,East Godavari,2016-08,16.99842865,81.71561488,14.0,0.0,1.40035154,0.0,0.0,68.66666666666667,0.0,0.3999999999999999,8,Monsoon
Andhra Pradesh,East Godavari,2017-01,16.99842865,81.71561488,15.0,0.0,0.0002294354551,25.0,300.392,13.0,0.0,0.0714285714285714,1,Winter
Andhra Pradesh,East Godavari,2017-09,16.99842865,81.71561488,24.0,0.0,0.3244615379,20.0,300.93,17.666666666666668,0.0,0.6000000000000001,9,Monsoon
Andhra Pradesh,East Godavari,2017-10,16.99842865,81.71561488,67.0,0.0,0.5780676133,17.0,298.09000000000003,35.333333333333336,0.0,1.7916666666666665,10,Post-Monsoon
